plot #,bird id,sex,treatment,march.date,YEAR,diffSunrise,units
216,C2L6833,m,mel,19,2011,10.88618401,mins
217,C2L6833,m,mel,20,2011,-7.08130486,mins
220,C2L6833,m,mel,26,2011,-3.865239112,mins
221,C2L6833,m,mel,27,2011,-3.830500619,mins
222,C2L6833,m,mel,28,2011,14.20251635,mins
224,C2L6833,m,mel,30,2011,-20.73864948,mins
225,C2L6833,m,mel,31,2011,-5.713851237,mins
226,C2L6833,m,mel,32,2011,-24.69281315,mins
227,C2L6833,m,mel,33,2011,-27.67604762,mins
228,C2L6833,m,mel,34,2011,-31.66406878,mins
230,C2L6833,m,mel,39,2011,-15.694133,mins
209,C2L6833,m,mel,41,2011,-23.75794665,mins
166,C2L6847,m,mel,19,2011,8.886184009,mins
167,C2L6847,m,mel,20,2011,-9.08130486,mins
168,C2L6847,m,mel,24,2011,-20.93784609,mins
169,C2L6847,m,mel,25,2011,-19.90119055,mins
171,C2L6847,m,mel,27,2011,-12.83050062,mins
173,C2L6847,m,mel,29,2011,-17.76669691,mins
175,C2L6847,m,mel,31,2011,-21.71385124,mins
358,C2L6905,m,mel,17,2011,-11.17119931,mins
360,C2L6905,m,mel,21,2011,-28.04693811,mins
361,C2L6905,m,mel,22,2011,-22.01123085,mins
336,C2L6955,m,mel,26,2011,-20.86523911,mins
389,C2V0034,m,mel,18,2011,-1.143954118,mins
390,C2V0034,m,mel,19,2011,-3.113815991,mins
391,C2V0034,m,mel,20,2011,-12.08130486,mins
392,C2V0034,m,mel,22,2011,-12.01123085,mins
393,C2V0034,m,mel,23,2011,-9.97469631,mins
394,C2V0034,m,mel,24,2011,-8.937846092,mins
396,C2V0034,m,mel,27,2011,39.16949938,mins
398,C2V0034,m,mel,29,2011,23.23330309,mins
438,C2V1004,m,mel,21,2011,-19.04693811,mins
291,C2V1004,m,mel,23,2011,-22.97469631,mins
292,C2V1004,m,mel,24,2011,-28.93784609,mins
293,C2V1004,m,mel,25,2011,-22.90119055,mins
294,C2V1004,m,mel,26,2011,-25.86523911,mins
295,C2V1004,m,mel,27,2011,-27.83050062,mins
296,C2V1004,m,mel,28,2011,-13.79748365,mins
299,C2V1004,m,mel,31,2011,-28.71385124,mins
302,C2V1004,m,mel,34,2011,-29.66406878,mins
303,C2V1004,m,mel,35,2011,-21.65739287,mins
304,C2V1004,m,mel,36,2011,-35.65653849,mins
306,C2V1004,m,mel,38,2011,-33.6743826,mins
307,C2V1004,m,mel,39,2011,-42.694133,mins
290,C2V1004,m,mel,42,2011,-37.80308403,mins
436,C2V1004,m,mel,43,2011,-7.857764971,mins
128,C2V1009,m,mel,19,2011,-0.113815991,mins
129,C2V1009,m,mel,20,2011,-6.08130486,mins
132,C2V1009,m,mel,26,2011,-19.86523911,mins
133,C2V1009,m,mel,27,2011,-26.83050062,mins
134,C2V1009,m,mel,28,2011,6.202516345,mins
135,C2V1009,m,mel,29,2011,-14.76669691,mins
139,C2V1009,m,mel,33,2011,-26.67604762,mins
140,C2V1009,m,mel,34,2011,-29.66406878,mins
141,C2V1009,m,mel,38,2011,-32.6743826,mins
142,C2V1009,m,mel,39,2011,-32.694133,mins
126,C2V1009,m,mel,41,2011,-32.75794665,mins
186,C2V1016,m,mel,30,2011,-13.73864948,mins
187,C2V1016,m,mel,32,2011,-24.69281315,mins
189,C2V1016,m,mel,34,2011,-15.66406878,mins
